Faculty,Department
Факультет фізичного виховання,Кафедра фізичного виховання і рекреаційно-оздоровчої роботи
Факультет фізичного виховання,Кафедра теорії і методики фізичного виховання
Факультет фізичного виховання,Кафедра теорії та методики олімпійського і професійного спорту
"Факультет історії, бізнес-освіти та права",Кафедра історії України та всесвітньої історії
"Факультет історії, бізнес-освіти та права",Кафедра права та правоохоронної діяльності
"Факультет історії, бізнес-освіти та права","Кафедра філософії, політології та психології"
"Факультет педагогіки, психології та мистецтв",Кафедра мистецької освіти
"Факультет педагогіки, психології та мистецтв",Кафедра педагогіки та спеціальної освіти
"Факультет педагогіки, психології та мистецтв",Кафедра дошкільної та початкової освіти
"Факультет педагогіки, психології та мистецтв",Кафедра психології та соціальної роботи
"Факультет математики, природничих наук та технологій",Кафедра математики та цифрових технологій
"Факультет математики, природничих наук та технологій",Кафедра технологічної та професійної освіти
"Факультет математики, природничих наук та технологій",Кафедра менеджменту та підприємництва
"Факультет математики, природничих наук та технологій",Кафедра природничих наук і методик їхнього навчання
"Факультет математики, природничих наук та технологій",Кафедра інформатики та інформаційних технологій
"Факультет математики, природничих наук та технологій",Архів Кафедра природничих наук та методик їхнього навчання
"Факультет математики, природничих наук та технологій",Архів Кафедра географії та геоекології
"Факультет математики, природничих наук та технологій",Архів Кафедра біології та методики її викладання
"Факультет української філології, іноземних мов та соціальних комунікацій",Кафедра української філології та журналістики
"Факультет української філології, іноземних мов та соціальних комунікацій","Кафедра германських мов, зарубіжної літератури та методик їхнього навчання"
"Факультет української філології, іноземних мов та соціальних комунікацій","Кафедра перекладу, прикладної та загальної лінгвістики"
